5:2,Asteroid Hideout,39937500,25000000,50000000,50000000
5:19,Golan I,33104701,1,50000000,50000000
5:17,Platform XQ1,18260870,12500000,30000000,15000000
5:14,R&D II,40000000,40000000,40000000,40000000
5:10,Recycling II,50000000,50000000,50000000,50000000
5:26,Shipyard I,28993660,1,50000000,35000000
5:7,Shipyard III,64583333,50000000,80000000,50000000
5:4,Trading II,15796004,1,24000000,21000000
2:175,Cargo Canister,89310,1,1040000,50000
2:254,Class-A Cargo Container Mk II,682258,1,2500000,1000000
2:178,Class-J Cargo Container,320179,1,500000,500000
2:91,Acclamator-class Assault Ship,716666667,680000000,750000000,720000000
2:181,Arquitens-class Light Cruiser,17758163,10000000,25000000,18000000
2:125,Bayonet-class Light Cruiser,420000000,400000000,450000000,450000000
2:30,BFF-1 Bulk Freighter,18921861,2076200,70000000,17250000
2:111,BTL-A4 Y-wing Longprobe,13812500,8000000,30000000,10000000
2:159,C-wing Ugly,548139,200000,950000,400000
2:156,Class VI Bulk Freighter,21000000,17000000,25000000,25000000
2:254,Class-A Cargo Container Mk II,682258,1,2500000,1000000
2:106,Cloakshape/H Fighter,417695,18229,11675000,150000
2:66,Consular-class Cruiser,10862921,3380000,16200000,5000000
2:108,CR-90 Assassin-class Corvette,277888889,210000000,376000000,350000000
2:277,Crusader XX-777 Prototype Droid Frigate,70466667,50000000,90000000,60000000
2:249,Defender-class Light Corvette,190242308,60000000,225000000,165000000
2:226,Discril-class Attack Cruiser,94545455,40000000,150000000,95000000
2:86,DP-20b Gunship,66428571,50000000,100000000,75000000
2:6,Dreadnaught-class Heavy Cruiser,28128537,15000000,45000000,27500000
2:21,DX-9 Dropship,4120181,425532,8500000,4500000
2:149,EF76 Nebulon-B Medical Frigate,25752232,2301500,175000000,25000000
2:140,Eta-2 Actis-class Light Interceptor,5700000,3208333,25000000,4700000
2:165,Eta-class Shuttle,17375000,10000000,24750000,24750000
2:32,Firespray-class Interceptor,3113949,788896,44500000,3000000
2:191,Foray-class Blockade Runner,33684211,25000000,40000000,30000000
2:220,G-type Light Shuttle,4666667,4000000,5000000,5000000
2:141,Gozanti-class Cruiser,36637500,30000000,60000000,37000000
2:120,GRZ-6B Wrecker,2684342,450000,6000000,4500000
2:280,HT-2200 Medium Freighter,40000000,40000000,40000000,40000000
2:70,Ithorian Herdship,435714286,350000000,500000000,500000000
2:36,JumpMaster 5000,2730978,1500000,9000000,4000000
2:259,Kandosii-type Dreadnaught,315019125,250000000,350000000,300000000
2:20,Lambda-class T-4a Shuttle,566666667,550000000,600000000,550000000
2:67,Lictor-class Dungeon Ship,43079908,8613964,55000000,40000000
2:164,M-class Luxury Liner,25689167,18000000,42500000,27000000
2:260,MC-30b Corvette,27870370,19000000,50000000,20000000
2:142,Namana-class Light Cruiser,445968750,300000000,875000000,420000000
2:266,Pelta-class Frigate,101768293,67500000,180000000,150000000
2:295,Pirate Interceptor Frigate,120000000,120000000,120000000,120000000
2:293,Rihkxyrk Assault Fighter,13287368,5300000,20000000,13833333
2:157,S40K Phoenix Hawk-class Light Pinnace,2505405,1650000,3500000,3000000
